Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature
All Time Low,Once In A Lifetime,58,0.492,0.911,6,-3.891,0,0.113,0.015,0.653,0.345,0.429,168.024,189543,4
Ava De Bara,Be The Reason,18,0.706,0.711,2,-8.298,0,0.0551,0.424,0.000205,0.163,0.598,97.044,188760,4
Eden Ben Zaken,◊ß◊ó ◊ú◊ô ◊ê◊™ ◊î◊ú◊ë,39,0.729,0.741,1,-5.491,1,0.0845,0.0874,0.019,0.0647,0.393,95.006,235147,4
All Them Witches,Enemy of My Enemy,63,0.245,0.97,7,-5.319,0,0.0965,0.00121,0.34,0.317,0.311,178.956,209644,4
Paul Newman Daytona Rolex,Brett Dennen,77,0.645,0.766,10,-8.284,0,0.0872,0.0158,0.626,0.151,0.665,157.963,3.353783333,4
Devon Gilfillian,Unchained,48,0.385,0.832,6,-4.9,0,0.0891,0.0313,1.95E-06,0.132,0.673,179.839,244536,4
Lindemann,Steh auf - Live,29,0.41,0.992,11,-5.364,1,0.0905,0.000285,1.60E-06,0.752,0.0776,75.007,246396,4
The OBGMs,Not Again,37,0.463,0.957,9,-4.55,1,0.0491,0.000469,0.000751,0.368,0.663,95.048,140691,4
Arik Einstein,◊ô◊ï◊©◊ë ◊¢◊ú ◊î◊í◊ì◊®,33,0.653,0.377,7,-16.336,1,0.0304,0.0884,7.42E-05,0.101,0.424,149.948,232300,4
Laura Zocca,I Want You Back,25,0.41,0.0938,7,-13.782,1,0.0462,0.896,0.318,0.118,0.294,178.318,2.77398333,3
Foreigner,Urgent,27,0.855,0.803,9,-5.849,0,0.0316,0.342,0.000376,0.0841,0.962,114.867,4.52,4
Franz Ferdinand,Do You Want To,49,0.412,0.944,8,-2.896,1,0.0448,0.0724,0.00108,0.801,0.79,123.091,215000,4
Hayley Williams,My Limb,35,0.719,0.529,5,-8.029,0,0.0303,0.216,0.00023,0.0976,0.401,145.006,173423,4
Gang Of Four,To Hell With Poverty,15,0.408,0.885,11,-9.635,1,0.149,0.000456,7.38E-05,0.278,0.231,134.524,299600,4
Katatonia,The Winter of Our Passing,47,0.58,0.694,8,-9.529,0,0.0338,0.000351,0.474,0.276,0.439,120.048,198027,4
Seb Wildblood,Room with No View (feat. Boxed In),62,0.628,0.86,2,-8.214,1,0.0345,0.146,0.792,0.114,0.447,125.995,213452,4
B.B. King,Chains And Things,39,0.56,0.241,7,-15.385,0,0.0314,0.593,0.000343,0.122,0.341,79.537,293733,4
Dudu Aharon,◊¢◊ï◊ë◊®◊™ ◊û◊ï◊ú◊ô,19,0.691,0.895,2,-3.961,0,0.0499,0.32,2.16E-05,0.564,0.646,128.043,192373,4
Nathan Goshen,26,55,0.471,0.832,9,-5.606,0,0.12,0.0333,0.00526,0.0937,0.679,193.946,197773,4
PUBLIC,Make You Mine - Acoustic,34,0.721,0.389,10,-8.558,1,0.0279,0.755,2.33E-05,0.136,0.465,98.003,209093,4
Lizzo,Juice,43,0.767,0.889,11,-2.988,1,0.0963,0.00611,0.00237,0.402,0.843,119.93,195145,4
Fink's Mood,Thunder,65,0.596,0.415,1,-9.72,1,0.0278,0.401,4.90E-05,0.106,0.15,77.955,171696,4
Strand of Oaks,Ruby,69,0.46,0.653,1,-6.526,1,0.0337,0.217,0.00433,0.156,0.342,116.905,247800,4
Shamir,Ocean Eyes,1,0.346,0.594,9,-7.44,1,0.0662,0.228,0.569,0.0964,0.362,176.051,203728,4
Rafael Farina,Vino Amargo,50,0.544,0.248,9,-11.302,0,0.0583,0.884,4.47E-05,0.26,0.511,122.842,223800,4
Cherym,Kisses On My Cards,30,0.459,0.953,9,-5.578,1,0.0724,0.000121,3.50E-06,0.135,0.512,142.003,189248,4
Paladin,Shoot for the Sun,44,0.182,0.962,5,-5.271,1,0.136,1.94E-05,2.66E-05,0.157,0.214,168.042,241824,4
Sade,Smooth Operator - Live,70,0.576,0.811,2,-7.531,0,0.034,0.0672,0.0679,0.954,0.65,124.888,4.28,4
Michael Franti & Spearhead,The Sound Of Sunshine,46,0.673,0.902,2,-4.886,1,0.0553,0.0164,0.000771,0.269,0.704,97.007,225133,4
Son Seals,Going Back Home,58,0.379,0.505,1,-9.734,0,0.0362,0.84,0.939,0.612,0.893,172.141,423800,3
B.B. King,Makin' Love Is Good For You,51,0.636,0.83,7,-5.722,1,0.0422,0.562,4.83E-06,0.154,0.617,119.816,227707,4
RKCB,Naive,78,0.64,0.582,6,-9.529,1,0.041,0.716,0.000501,0.328,0.085,100.024,213250,4
Rammstein,Du riechst so gut,29,0.67,0.755,11,-7.416,1,0.031,0.000358,1.74E-05,0.344,0.813,111.984,289267,4
The Sword,Iron Swan,38,0.267,0.671,2,-7.422,1,0.0436,3.14E-05,0.846,0.128,0.38,162.124,346093,4
Ephemerald,No Fall Is Too Deep,36,0.247,0.899,9,-7.322,1,0.0716,2.48E-06,0.132,0.188,0.0399,180.087,294832,4
The Pretty Reckless,And So It Went [Feat. Tom Morello],42,0.471,0.9,1,-2.283,0,0.0832,0.0148,8.94E-05,0.082,0.362,91.318,270215,4
Cj Pandit,Bad Bad Fun,45,0.582,0.693,11,-9.256,1,0.0278,0.131,0.00478,0.115,0.582,106.999,208444,4
Kid Kapichi,Working Man's Town,26,0.358,0.866,8,-4.639,0,0.051,0.0015,0.792,0.515,0.749,150.077,214707,4
Puddle Of Mudd,Control,39,0.444,0.913,9,-3.452,1,0.0992,0.00308,0.805,0.38,0.569,163.689,230067,4
Joy Division,Love Will Tear Us Apart,33,0.443,0.956,9,-6.198,1,0.0511,5.24E-05,0.00164,0.135,0.909,146.754,206867,4
Pretty Sick,Bet My Blood,16,0.423,0.984,11,-4.261,0,0.1,2.29E-05,1.43E-05,0.321,0.199,103.218,179785,4
Alfie Templeman,One More Day,33,0.404,0.36,9,-8.44,1,0.226,0.644,6.65E-05,0.085,0.308,161.028,269480,4
Crafty 893,Happy Belated,58,0.679,0.307,2,-13.473,1,0.227,0.0783,0.00205,0.113,0.165,163.94,196098,4
Too Late Babe,The Lowest Pair,23,0.373,0.681,9,-8.002,1,0.0385,0.137,0.000416,0.145,0.249,168.533,4.819366667,4
The Alan Parsons Project,Eye In The Sky,1,0.823,0.417,1,-12.643,1,0.032,0.562,5.56E-06,0.0765,0.522,111.928,276280,4
The Stranglers,Hanging Around - 1996 Remaster,61,0.598,0.75,9,-6.76,1,0.0433,0.00599,0.00803,0.117,0.833,132.418,265400,4
The Hives,Walk Idiot Walk,70,0.623,0.947,9,-3.934,1,0.103,0.00386,9.87E-05,0.582,0.684,146.318,211813,4
Seddy Hendrinx,45 (feat. A Boogie Wit da Hoodie),48,0.861,0.582,11,-8.078,1,0.226,0.00621,5.94E-05,0.103,0.607,85.007,155224,4
P!nk,All I Know So Far,68,0.578,0.639,1,-5.749,1,0.0374,0.0586,0.0011,0.0944,0.296,108.045,277413,4
Deadeye Dick,New Age Girl,47,0.62,0.658,3,-7.287,1,0.07,0.139,2.80E-05,0.157,0.824,138.161,209733,4
"Kim André Arnesen, Mona Spigseth, Alex Robson, TrondheimSolistene, Sofi Jeannin",Peace,43,0.159,0.145,10,-17.25,0,0.045,0.71,4.87E-05,0.148,0.0938,175.436,4.503116667,4
The Heavy Eyes,God Damn Wolf Man,63,0.383,0.892,5,-5.613,0,0.0758,0.000643,0.00192,0.409,0.75,82.979,169781,4
Lost Society,Blood On Your Hands,50,0.49,0.94,1,-6.47,0,0.0825,7.00E-06,0.497,0.0917,0.299,94.652,234578,4
Agnes Obel,Parliament Of Owls,52,0.212,0.239,7,-17.042,0,0.0365,0.919,2.28E-06,0.149,0.117,119.345,2.495866667,3
Tirzah,Sink In,20,0.628,0.303,4,-10.317,1,0.0354,0.299,0.0479,0.106,0.413,56.949,237522,4
Ronnie Milsap,My Heart,23,0.713,0.43,7,-10.432,1,0.0268,0.381,6.68E-05,0.217,0.475,95.284,2.69645,4
"Ottorino Respighi, Berliner Philharmoniker, Herbert von Karajan","Antiche danze ed arie per liuto, Suite No. 3, P. 172: 3. Siciliana. Andantino",54,0.188,0.0587,1,-26.196,0,0.0401,0.956,0.513,0.0837,0.147,104.88,3.366666667,3
The Early November,I Want To Hear You Sad,18,0.507,0.748,2,-5.264,1,0.0303,0.00604,0.0565,0.176,0.743,92.653,210053,4
Big Joe Turner,"S.K. Blues, Pt. 1",39,0.619,0.268,2,-9.96,1,0.0772,0.987,0.00016,0.306,0.61,87.213,181307,4
Esperanza Fernandez,Antonio Vargas Heredia,71,0.639,0.396,7,-9.54,0,0.117,0.862,3.55E-05,0.0972,0.483,88.865,337973,3
Nikki Hill,Heavy Hearts Hard Fists,37,0.759,0.573,5,-5.924,1,0.0276,0.383,0.617,0.116,0.864,117.551,197640,4
Robin Schulz,All This Love (feat. Harl≈ì),29,0.659,0.789,5,-4.505,0,0.0506,0.00943,0.527,0.175,0.475,123.971,201290,4
Dudu Aharon,◊ì◊ï◊ë◊ì◊ë◊ü,53,0.775,0.869,6,-3.218,1,0.0359,0.241,0.0132,0.0802,0.904,118.033,219813,4
Brothers Osborne,Shoot From The Hip,58,0.602,0.951,8,-4.807,1,0.0559,0.0588,1.16E-05,0.311,0.534,148.097,213827,4
Abra Cadabra,Spin This Coupe,31,0.676,0.828,7,-4.725,0,0.261,0.132,0.000589,0.0822,0.544,139.974,161564,4
Gabby Barrett,I Hope (feat. Charlie Puth),52,0.554,0.576,2,-6.495,1,0.0399,0.171,0.324,0.159,0.409,74.942,209763,4
Static & Ben El,◊ó◊ë◊ô◊ë ◊ê◊ú◊ë◊ô,31,0.736,0.784,8,-5.037,1,0.113,0.126,0.884,0.133,0.65,150.069,198400,4
The Dandy Warhols,Bohemian Like You,37,0.584,0.931,10,-6.158,1,0.0344,0.00315,0.00103,0.133,0.694,131.275,211707,4
Sada Baby,Little While (feat. Big Sean & Hit-Boy),12,0.834,0.888,1,-3.944,1,0.222,0.00308,0.0052,0.288,0.563,114.92,219192,4
Nailbomb,Cockroaches,53,0.221,0.861,10,-10.138,1,0.0678,0.000174,6.27E-06,0.345,0.289,186.416,310493,4
Living Proof,The War On Drugs,53,0.604,0.157,3,-14.174,1,0.0315,0.892,7.39E-05,0.113,0.126,116.032,4.897783333,4
Goldfinger,Infinite,57,0.465,0.972,9,-3.68,1,0.141,0.00146,0.000226,0.361,0.632,169.982,145075,4
Mino Conte & Co,Misty Morning,53,0.489,0.228,11,-16.06,1,0.0328,0.903,0.0925,0.124,0.18,73.636,3.226766667,4
Gizelle Smith,Better Remember (They're Controlling You),61,0.572,0.633,3,-8.247,0,0.0603,0.16,0.000445,0.182,0.706,92.052,338750,4
Dust Bolt,Chaos Possession,37,0.209,0.979,2,-3.594,1,0.0774,4.52E-05,1.41E-06,0.317,0.517,139.775,233665,4
P Money,This Year,22,0.824,0.634,4,-8.894,1,0.164,0.0193,0.13,0.12,0.229,139.975,178639,4
"Lata Mangeshkar, Kishore Kumar",Ik Rasta Hai Zindagi,40,0.478,0.5,2,-11.133,0,0.0497,0.139,0.0481,0.401,0.694,116.691,5.285783333,4
I,The Storm I Ride,37,0.521,0.961,7,-5.752,1,0.0459,0.189,0.021,0.112,0.26,124.993,269213,4
Shawn Mendes,Teach Me How To Love,63,0.592,0.885,8,-4.944,0,0.0807,0.0505,2.34E-05,0.0843,0.731,98.991,202357,4
"Moe Bandy, Joe Stampley",Just Good Ol' Boys,53,0.607,0.598,7,-8.875,1,0.0739,0.665,0.773,0.136,0.733,151.233,2.587116667,4
"Stan Getz, Gerry Mulligan",Anything Goes,39,0.479,0.495,7,-11.239,1,0.042,0.619,0.84,0.203,0.766,131.647,3.65445,4
Badflower,Move Me,30,0.283,0.677,1,-5.535,0,0.0347,0.0722,0.131,0.19,0.188,81.246,204029,5
Elvis Costello,Alison,64,0.557,0.32,11,-10.792,0,0.0438,0.739,0.813,0.112,0.377,176.647,204533,4
Nervosa,Guided by Evil,27,0.512,0.948,7,-7.587,1,0.0412,2.80E-05,0.0063,0.342,0.134,100.043,210047,4
PJ Harvey,This Is Love,68,0.59,0.685,10,-5.216,1,0.0282,6.58E-05,0.0128,0.165,0.425,112.411,226667,4
The Delta Saints,Are You,30,0.43,0.852,8,-7.303,0,0.0309,0.0068,3.48E-06,0.137,0.509,93.375,220467,4
Poison The Well,Ghostchant,55,0.284,0.966,8,-5.655,1,0.239,3.67E-05,0.577,0.342,0.0832,118.603,213200,3
Ron Gallo,YOU ARE ENOUGH - Caroline Rose Remix,73,0.63,0.842,11,-5.379,1,0.0317,0.0327,1.59E-05,0.152,0.115,100.014,223150,4
Yossi Babliki,◊û◊ú◊ó◊û◊î ◊ï◊©◊ú◊ï◊ù ◊™◊©◊§◊ê,32,0.354,0.249,4,-14.293,1,0.0339,0.594,0.00524,0.191,0.21,73.088,241185,3
Marilina Bertoldi,La Casa de A,37,0.592,0.449,8,-8.249,1,0.0344,0.00601,0.00879,0.0734,0.617,179.994,196072,4
Joe Bonamassa,Blues Deluxe,44,0.499,0.366,10,-9.566,1,0.0441,0.0108,0.0128,0.0851,0.418,144.563,440200,3
The Bravery,An Honest Mistake,41,0.46,0.889,7,-4.281,0,0.0294,3.21E-06,0.00751,0.121,0.639,140.038,219707,4
Strange Girl,Laura Marling,54,0.682,0.74,11,-9.886,1,0.0445,0.286,0.00206,0.0812,0.904,98.999,3.364883333,4
Limp Bizkit,Faith,84,0.428,0.781,11,-6.823,0,0.281,0.0675,0.00656,0.615,0.709,93.244,146480,4
"Steve Aoki, Backstreet Boys",Let It Be Me,30,0.661,0.758,9,-5.299,1,0.0864,0.0797,0.0604,0.106,0.387,114.098,3.73435,4
Blood Cultures,Dunk on Me,54,0.436,0.449,5,-8.255,1,0.0355,0.363,0.00144,0.249,0.0787,90.104,174933,4
Dead Meadow,Sleepy Silver Door,41,0.365,0.632,4,-6.574,1,0.0303,0.444,0.037,0.127,0.289,129.545,452747,4
Duran Duran,Someone Else Not Me,64,0.465,0.606,7,-7.1,1,0.0243,0.00715,0.00582,0.237,0.362,153.184,288747,4
TOOL,Jambi,35,0.475,0.831,4,-7.419,0,0.0505,0.000145,0.000316,0.346,0.521,110.42,448613,3
Baby Queen,Dover Beach,51,0.581,0.831,8,-5.484,1,0.057,0.0814,0.000241,0.078,0.665,99.913,218053,4
King Gizzard & The Lizard Wizard,Rattlesnake,51,0.58,0.963,9,-5.918,1,0.0388,0.0311,0.000585,0.396,0.814,170.593,468093,4
DYLYN,Let You,44,0.534,0.704,3,-5.199,1,0.0361,0.012,0.00101,0.247,0.685,168.169,186513,4
Nina Simone,Baltimore,44,0.638,0.28,7,-16.516,1,0.0673,0.417,0.434,0.0611,0.734,154.955,278867,4
Thom Southern,everything i wanted,37,0.528,0.766,10,-7.525,1,0.0353,0.0249,0.0101,0.352,0.403,127.017,260907,4
The Runaways,Cherry Bomb,31,0.501,0.813,10,-8.192,1,0.0639,0.0455,8.68E-06,0.131,0.495,136.59,138707,4
Ballaké Sissoko,Kalanso,35,0.332,0.112,4,-17.317,0,0.0371,0.986,0.000333,0.118,0.467,91.801,3.29355,4
Jamey Johnson,Between Jennings And Jones,30,0.544,0.621,9,-8.131,1,0.0397,0.0442,0.000242,0.28,0.382,146.798,251960,3
Iggy Pop,The Passenger,63,0.498,0.889,7,-5.413,1,0.0546,0.0947,0.648,0.733,0.696,134.88,283360,4
Ronnie Atkins,Real,62,0.494,0.967,7,-6.492,1,0.0545,0.000245,0.00322,0.396,0.595,126.052,238960,4
Wil Owen,Will It All Work Out?,41,0.472,0.251,7,-13.75,0,0.0427,0.901,0.482,0.118,0.202,100.964,152857,4
Cayucas,Yeah Yeah Yeah,26,0.829,0.512,9,-8.849,1,0.0325,0.619,0.179,0.0941,0.891,117.973,205922,4
TTNG,Cat Fantastic,39,0.521,0.803,11,-6.264,1,0.0387,0.0528,0.000438,0.254,0.698,127.894,293987,4
Briston Maroney,Bottle Rocket,50,0.583,0.931,4,-4.975,0,0.125,0.0174,2.45E-06,0.405,0.319,127.034,190360,4
The Police,Every Breath You Take,21,0.82,0.452,1,-9.796,1,0.0348,0.543,0.483,0.0714,0.74,117.401,253920,4
Kendre Streeter,Strange Stains,40,0.585,0.646,11,-8.809,0,0.056,0.00399,4.64E-05,0.107,0.404,92.123,245243,4
Jade Bird,Does Anybody Know,36,0.778,0.145,8,-11.95,0,0.0503,0.892,0.00023,0.126,0.24,109.071,3.4656,4
Helge Lien Trio,Popkoral,24,0.367,0.116,4,-21.437,1,0.0336,0.95,0.00604,0.104,0.188,134.488,4.455966667,4
Good Charlotte,Little Things,38,0.686,0.84,5,-5.142,1,0.159,0.0601,0.00275,0.164,0.704,105,203027,4
JayWood,What You Do To Me,40,0.495,0.868,4,-5.122,1,0.0621,0.124,0.146,0.0916,0.668,81.024,254024,4
Beach Bunny,Ms. California,41,0.582,0.859,5,-3.943,1,0.0399,0.000209,1.55E-06,0.0841,0.61,121.968,172037,4
Peter Gregson,Somnia,21,0.0761,0.136,2,-23.502,1,0.0444,0.574,5.97E-06,0.109,0.0381,81.738,198324,4
Black Mountain,Wucan,73,0.524,0.613,4,-10.025,1,0.0256,0.0135,0.000469,0.086,0.443,102.399,362960,4
FIDLAR,Can‚Äôt You See,73,0.562,0.884,11,-4.003,1,0.157,0.00979,0.000538,0.115,0.912,169.967,178438,4
Kirk Fletcher,Struggle for Grace,45,0.486,0.586,1,-7.493,0,0.0396,0.0186,0.02,0.0496,0.321,177.802,313253,4
Ohmme,3 2 4 3,47,0.449,0.684,9,-8.116,1,0.0358,0.0925,5.75E-05,0.104,0.306,129.585,245506,1
Allie Crow Buckley,Moonlit and Devious,24,0.466,0.45,7,-11.199,1,0.0296,0.0426,4.24E-05,0.113,0.133,113.065,303717,4
Wargirl,Whatcha Say,36,0.868,0.562,1,-7.063,0,0.0534,0.277,0.00273,0.115,0.614,114.025,188733,4
YONAKA,Seize the Power,52,0.633,0.788,3,-4.075,0,0.127,0.0111,1.19E-05,0.0582,0.412,134.13,161617,4
Sturgill Simpson,I Don't Mind,32,0.603,0.483,1,-7.898,1,0.03,0.599,1.03E-05,0.0886,0.415,89.386,269664,4
Eviatar Banai,◊™◊ó◊®◊ï◊™ ◊õ◊ú◊ë◊ô◊ù,37,0.646,0.702,4,-5.26,0,0.0248,0.156,0.000475,0.149,0.668,112.02,277867,4
Devin Townsend,Hyperdrive!,65,0.466,0.143,7,-16.497,0,0.0347,0.892,0.000829,0.126,0.117,140.462,266934,1
Middle Kids,Stacking Chairs,44,0.549,0.758,1,-5.991,1,0.0262,0.0267,0.919,0.213,0.486,109.975,188347,4
Lewis Watson,little light - acoustic version,24,0.67,0.294,1,-8.114,1,0.0341,0.685,2.00E-05,0.147,0.515,119.856,256415,4
Dudu Aharon,◊¢◊©◊®◊ô◊ù ◊ï◊ê◊®◊ë◊¢ ◊©◊¢◊ï◊™,46,0.668,0.715,11,-5.831,1,0.0303,0.43,1.56E-05,0.0877,0.619,127.974,200859,4
Jools,How Can Some Experience What Pride Is Without Liberation for All?,18,0.477,0.941,10,-4.152,1,0.0623,0.00287,0.0258,0.123,0.466,74.959,212743,4
Jessy Martens and Band,Touch My Blues Away - Live,12,0.311,0.466,2,-8.163,1,0.0367,0.0171,0.0171,0.738,0.233,158.661,544640,3
The Who,My Generation - Original Mono Version,30,0.362,0.819,10,-6.749,0,0.0883,0.169,4.85E-05,0.237,0.707,96.863,197320,4
G Lun√©,BLOCKED,47,0.413,0.845,2,-4.972,1,0.432,0.000457,3.19E-05,0.203,0.585,159.728,138000,4
"Julian Dash, Jay McShann, Eugene Ramey, Gus Johnson, Jr., Buddy Tate",Blue and Sentimental,17,0.484,0.0291,4,-23.363,1,0.0459,0.961,0.000466,0.115,0.379,98.434,6.498216667,4
DIAMANTE,I Love Myself For Hating You,58,0.554,0.85,7,-5.621,0,0.0418,0.0006,0.000631,0.0665,0.653,133.958,183173,4
Still Dreams,Spell,40,0.622,0.814,5,-3.462,1,0.0329,0.0716,0.0316,0.0789,0.746,109.987,239642,4
Gucci Mane,I Get the Bag (feat. Migos),2,0.89,0.633,7,-5.475,1,0.168,0.0232,0.0703,0.0993,0.425,139.948,233087,4
The Doors,Light My Fire,53,0.413,0.725,1,-5.787,0,0.0324,0.369,4.59E-05,0.0905,0.44,124.618,429760,4
The Magic Gang,What Have You Got To Lose,37,0.7,0.713,9,-4.741,0,0.0483,0.00549,0.0751,0.112,0.425,121.95,231701,4
Delbert McClinton,Everytime I Roll The Dice,4,0.732,0.849,2,-6.435,1,0.025,0.0537,0.000471,0.112,0.968,112.294,269933,4
Ehud Banai,◊ê ◊ô◊ô◊ì◊ô◊©◊¢ ◊®◊°◊ò◊î◊û◊ê◊ü,48,0.64,0.453,11,-10.213,0,0.0682,0.0281,0.206,0.698,0.524,130.814,262373,4
The Witches,◊¢◊ì ◊î◊¢◊ï◊†◊í ◊î◊ë◊ê,26,0.649,0.559,8,-11.715,1,0.0341,0.00186,0.0484,0.0911,0.336,115.181,171667,4
Elvis Costello,Veronica,44,0.63,0.757,2,-6.731,1,0.0359,0.128,0.0425,0.355,0.737,153.989,189507,4
The Appleseed Cast,Marigold & Patchwork,53,0.34,0.957,4,-3.872,1,0.063,0.000164,1.19E-06,0.376,0.224,161.357,349427,4
King Crimson,Larks' Tongues In Aspic (Part I),48,0.321,0.27,1,-15.777,1,0.0844,0.371,0.00387,0.0864,0.0748,154.058,815675,4
Eric Church,Heart On Fire,71,0.653,0.927,9,-4.699,1,0.0289,0.0352,0.00132,0.0966,0.894,119.97,4.313333333,4
Pom Pom Squad,Head Cheerleader,44,0.525,0.922,4,-6.136,1,0.0735,0.000167,9.64E-05,0.77,0.494,142.971,188243,4
Karthik,Maha Ganapathim,52,0.472,0.71,8,-8.167,1,0.0479,0.218,0.00321,0.231,0.543,179.952,3.862666667,4
Pretty Maids,Please Don't Leave Me,55,0.505,0.873,7,-7.197,0,0.0357,0.0415,0.921,0.213,0.52,120.047,315000,4
"Anweshaa, Sangeeta Shankar",Tum Jo Mile Ho,19,0.481,0.386,2,-15.589,1,0.0445,0.789,0.00908,0.0647,0.376,149.966,4.114283333,4
The Amenta,Parasight Lost,37,0.308,0.993,5,-5.372,1,0.138,1.84E-06,1.05E-05,0.412,0.0962,126.01,320947,3
Chimurenga Renaissance,Zimbabwe,42,0.575,0.652,8,-7.62,0,0.0921,0.361,0.0212,0.396,0.629,92.968,204827,4
Britney Spears,Kill the Lights,53,0.741,0.622,7,-5.878,1,0.0404,0.00887,0.822,0.15,0.625,122.013,3.986883333,4
Hockeysmith,Sorrelful,54,0.638,0.702,6,-4.233,0,0.108,0.0952,1.02E-06,0.0662,0.662,98.804,152094,4
Outkast,Jazzy Belle,76,0.878,0.65,7,-8.08,0,0.252,0.0178,4.24E-05,0.0408,0.101,92.03,251667,4
Death Hawks,Black Acid,50,0.535,0.561,2,-12.346,0,0.0372,0.309,0.879,0.104,0.137,118.912,546640,4
Buddy Guy,Sit and Cry (The Blues),52,0.534,0.514,3,-8.628,1,0.0388,0.766,1.27E-06,0.107,0.323,104.878,183533,4
Westlife,She's Back,45,0.823,0.843,10,-3.239,1,0.0362,0.178,0.83,0.0558,0.956,107.97,3.17445,4
Nada Surf,Popular,46,0.444,0.884,3,-6.104,1,0.119,0.00751,0.0097,0.116,0.296,94.82,220587,4
Joe Louis Walker,Going To Canada,35,0.536,0.417,3,-13.785,0,0.123,0.72,2.19E-06,0.312,0.758,95.997,234907,4
Margaret Walker,Ballad for Phyllis Wheatley,68,0.697,0.0545,11,-25.831,1,0.678,0.596,0.00256,0.548,0.312,132.476,144213,3
Dog Has Its Day,TOLEDO,27,0.505,0.489,11,-9.943,1,0.031,0.229,8.81E-05,0.359,0.772,77.298,3.1826,4
S. P. Balasubrahmanyam,Tumse Milne Ki Tamanna Hai,21,0.532,0.779,6,-11.326,0,0.0622,0.241,2.08E-06,0.154,0.671,119.735,5.499783333,4
Man,Back into the Future,22,0.46,0.816,7,-6.918,1,0.0296,0.234,0.000284,0.0783,0.33,130.713,246080,4
Saint Slumber,peachy,26,0.482,0.733,1,-5.317,1,0.0446,0.0384,0.776,0.281,0.343,150.154,203200,4
Maximo Park,Our Velocity,42,0.535,0.92,2,-4.39,0,0.0535,0.031,0.00912,0.0493,0.587,95.987,200387,4
Jackie Hayes,eye 2 eye,30,0.638,0.666,1,-6.951,0,0.0392,0.00784,0.461,0.314,0.651,131.962,185455,4
The Struts,Kiss This,50,0.427,0.965,1,-3.796,1,0.103,0.000702,0.625,0.179,0.8,186.074,177840,4
Matt Nathanson,Come On Get Higher,55,0.672,0.623,1,-5.699,1,0.0297,0.241,0.419,0.0848,0.617,92.018,215173,4
"Sonu Nigam, Kavita Krishnamurthy",Satarangi Re,19,0.695,0.504,7,-14.057,0,0.115,0.0944,0.00193,0.269,0.345,91.022,7.425333333,4
Joeboy,Focus,34,0.818,0.512,6,-10.765,1,0.136,0.39,1.30E-06,0.102,0.544,101.995,152941,4
Sugarcult,Los Angeles,30,0.509,0.817,11,-5.472,0,0.0502,0.000439,5.86E-05,0.0947,0.597,155.199,237573,4
Joanne Shaw Taylor,Outlaw Angel,22,0.502,0.864,9,-4.673,0,0.038,0.353,0.201,0.229,0.392,112.97,262413,4
NOVACUB,Change Your Mind,59,0.372,0.94,9,-3.586,0,0.14,0.00178,0.728,0.154,0.49,163.099,201543,4
The Pirouettes,Oulala,37,0.886,0.667,3,-7.065,1,0.0304,0.164,0.151,0.0499,0.938,107.974,215933,4
The Lumineers,Salt And The Sea,48,0.63,0.31,2,-9.253,1,0.028,0.704,0.374,0.128,0.0712,93.067,270893,4
Santana,Hold On,32,0.671,0.516,9,-15.981,0,0.0519,0.488,4.75E-06,0.138,0.711,124.699,261027,4
The Cranberries,Linger,37,0.439,0.434,4,-14.918,1,0.0265,0.0783,0.154,0.14,0.204,94.845,274707,4
IDLES,Grounds,54,0.562,0.537,1,-6.273,0,0.073,0.00623,0.134,0.316,0.465,100.757,188716,4
Opeth,Ghost of Perdition,24,0.292,0.818,4,-6.227,0,0.0413,0.000697,4.80E-06,0.0544,0.19,93.924,629480,3
Moon Fever,Cocaine,39,0.48,0.879,5,-4.67,0,0.0933,8.87E-05,3.40E-06,0.0828,0.289,141.063,143400,4
John Petrucci,Temple Of Circadia,46,0.271,0.96,6,-5.308,0,0.088,0.000207,0.942,0.114,0.317,133.245,430213,3
Biffy Clyro,"Balance, Not Symmetry - From the Original Motion Picture Soundtrack 'Balance, Not Symmetry'",47,0.545,0.834,2,-3.255,0,0.0385,6.46E-05,7.62E-05,0.125,0.676,156.884,181537,3
Tim McGraw,Humble And Kind,41,0.355,0.48,5,-7.31,1,0.0282,0.679,9.54E-05,0.12,0.137,100.956,4.321116667,3
Ghost King,Slither,39,0.358,0.845,7,-8.258,1,0.0632,0.549,0.414,0.106,0.398,170.051,141628,4
◊ô◊©◊ô ◊ë◊®◊í◊®,◊î◊û◊°◊õ◊î,36,0.531,0.926,2,-5.269,1,0.0431,0.00831,0.114,0.19,0.78,107.979,187875,4
The Fratellis,Flathead,33,0.594,0.959,10,-3.838,1,0.17,0.00989,0.0167,0.34,0.32,105.152,197640,4
Ephemerald,Reborn,40,0.362,0.885,11,-6.898,0,0.0464,1.01E-06,0.583,0.367,0.185,145.029,260993,4
The Right Thing Is Hard To Do,Lightning Bug,41,0.413,0.44,9,-9.951,1,0.0299,0.0663,0.000159,0.126,0.271,140.482,3.780416667,4
Bappi Lahiri,Sochna Kya - Instrumental,40,0.289,0.0536,9,-15.224,1,0.038,0.959,2.62E-06,0.239,0.227,134.304,1.464216667,4
Bryan Adams,Cloud Number Nine,38,0.59,0.72,10,-7.127,1,0.0263,0.0641,0.0401,0.183,0.617,109.644,225573,4
